Total number of words: 30006
Word frequencies:
goodness: 1
goose: 8
got: 20
gothic: 1
governments: 1
gown: 5
grace: 1
graceful: 2
gracefully: 2
grade: 1
grapes: 1
grasp: 1
grasping: 1
grass: 3
grate: 1
grateful: 2
grating: 1
gratis: 1
gratitude: 2
grave: 5
gravely: 1
graves: 1
gravy: 2
greasy: 1
great: 37
greater: 5
greatest: 2
greatly: 2
greedy: 1
green: 5
greet: 2
greetings: 1
grew: 4
grey: 2
grief: 2
grieve: 1
grieved: 1
grindstone: 1
grinning: 1
grins: 1
griping: 1
grocer: 1
grocers: 3
grog: 1
groom: 1
grope: 1
groped: 1
grosser: 1
grotesque: 1
ground: 10
group: 2
grouped: 1
grouping: 1
groups: 2
grove: 1
growing: 3
growl: 2
growled: 3
grown: 3
grows: 1
growth: 2
gruel: 3
gruff: 1
grunted: 1
guard: 2
guess: 2
guessed: 1
guests: 2
guiding: 1
guilty: 1
gush: 1
ha: 24
habit: 2
had: 207
hadn: 2
haggard: 1
hail: 1
hair: 8
haired: 1
half: 26
hall: 7
hallo: 9
halloa: 1
halloo: 1
halves: 1
hamlet: 1
hammer: 2
hand: 43
handed: 3
handful: 1
handle: 2
hands: 35
handsome: 4
handsomely: 1
hanging: 5
happen: 2
happened: 13
happier: 2
happiest: 1
happiness: 6
happy: 14
hard: 11
hardily: 1
hardly: 3
hardships: 1
hark: 1
harm: 1
harmless: 1
harp: 1
harsh: 1
has: 28
hasn: 2
hast: 1
haste: 1
hastened: 1
hat: 2
hatred: 1
hats: 1
haunt: 1
haunted: 3
have: 189
haven: 4
having: 14
he: 497
head: 41
health: 3
heap: 1
heaped: 2
heaps: 2
hear: 17
heard: 16
hearing: 2
hearse: 2
heart: 27
hearth: 7
heartier: 1
heartily: 7
heartiness: 1
hearts: 7
hearty: 3
heat: 2
heated: 2
heaven: 7
heavenly: 2
heavier: 2
heaviest: 1
heavily: 2
heaving: 1
heavy: 12
heed: 1
heeded: 1
heightened: 1
heir: 1
held: 11
helmsman: 1
help: 10
helped: 2
helping: 1
her: 67
herd: 1
here: 42
heresy: 1
herself: 1
hey: 1
hid: 1
hidden: 2
hide: 5
hideous: 1
hideously: 1
high: 12
higher: 1
highest: 1
highly: 1
hilli: 2
him: 202
himself: 47
hinges: 2
hint: 1
hinted: 2
his: 434
hissing: 1
hither: 1
ho: 4
hoar: 1
hoarding: 1
hob: 3
hold: 4
holding: 5
hole: 2
holes: 1
holiday: 2
holidays: 2
hollow: 2
holly: 7
homage: 1
home: 26
homes: 3
homeward: 1
honest: 4
honour: 3
honoured: 1
hood: 1
hooded: 2
hooks: 1
hoop: 1
hope: 18
hoped: 2
hopeful: 1
hopes: 3
horn: 1
horny: 1
horrible: 2
horror: 5
horrors: 1
horse: 4
horses: 2
hospital: 1
host: 1
hot: 9
hour: 16
hours: 2
house: 30
household: 1
housekeepers: 2
housemaid: 1
houses: 8
housetops: 1
how: 42
however: 5
howling: 1
hug: 1
hugged: 1
human: 6
humanity: 1
humbug: 9
humility: 2
hummed: 1
humour: 5
humoured: 1
hundred: 1
hundreds: 4
hung: 10
hungry: 2
hurrah: 2
hurried: 4
hurry: 1
hurrying: 1
hurts: 1
husband: 3
hushed: 1
hustled: 1
hut: 1
i: 367
ice: 1
iced: 1
icicle: 1
icicles: 1
icy: 1
idea: 5
idealist: 1
identity: 1
idiot: 1
idle: 2
idol: 2
if: 112
ignited: 1
ignorance: 1
ii: 1
iii: 1
ill: 6
illustrate: 1
illustrated: 1
illustration: 5
illustrations: 3
illustrator: 1
illustrious: 1
image: 1
imagination: 1
immediate: 2
immediately: 4
immense: 2
immortal: 2
immovable: 1
impatiently: 1
impenetrable: 1
imperceptibly: 1
implored: 1
imploringly: 1
importance: 2
impossible: 5
impression: 1
impropriety: 1
improve: 1
improved: 1
improvement: 1
impulse: 1
in: 535
inasmuch: 1
inaudible: 1
incense: 1
incessant: 2
inch: 1
inches: 1
inclined: 3
included: 1
including: 1
incoherent: 1
income: 1
increasing: 1
incredible: 1
incredulous: 1
indeed: 16
indescribable: 1
indicting: 1
indignantly: 2
individually: 1
indoors: 1
industry: 2
inexorable: 1
inexplicable: 1
inexpressibly: 2
infamous: 1
infancy: 1
infant: 1
infection: 2
infernal: 1
infinitely: 1
influence: 4
informs: 1
innocent: 1
innumerable: 1
inquire: 1
inquired: 8
inquiry: 1
insect: 1
inside: 3
insignificant: 1
insisted: 1
inspection: 1
instalments: 1
instance: 1
instant: 5
instantaneous: 1
instantly: 4
instead: 5
intelligent: 1
intense: 1
intent: 3
intention: 1
intentions: 1
intently: 2
intercedes: 1
intercourse: 2
interest: 3
interesting: 1
interfere: 2
intermediate: 1
interpret: 1
interpretations: 2
interrupted: 1
intervention: 1
intimation: 1
into: 59
intricate: 1
introduce: 1
introduction: 1
investments: 1
invisible: 4
involuntarily: 1
involve: 1
iron: 6
ironed: 1
ironmongery: 1
irons: 1
irrepressible: 1
irresistible: 2
irresistibly: 2
irresolution: 1
is: 133
island: 1
isn: 7
issue: 1
issued: 1
it: 559
item: 1
its: 131
itself: 11
iv: 1
ivy: 2
j: 1
jack: 1
jacob: 16
jaw: 1
jaws: 1
jefferson: 1
jest: 1
jet: 1
jiffy: 1
jocund: 1
joe: 18
john: 1
joined: 5
joining: 1
joints: 1
joke: 3
jokes: 1
